Lat,Lon,avgyield,sd,cv
84.75319672,-80.625,0.001821109,0.00010903,0.044902606
84.75319672,-78.75,0.001821195,0.000109035,0.04490266
84.75319672,-76.875,0.001821289,0.000109041,0.044902684
84.75319672,-75,0.001821389,0.000109047,0.044902685
84.75319672,-73.125,0.001821504,0.000109054,0.044902716
84.75319672,-71.25,0.001821624,0.000109061,0.044902797
84.75319672,-69.375,0.001821742,0.000109068,0.044902837
84.75319672,-67.5,0.001821844,0.000109075,0.04490292
84.75319672,-65.625,0.001821934,0.00010908,0.044902985
84.75319672,-63.75,0.001821991,0.000109084,0.044903113
84.75319672,-48.75,0.001822245,0.000109099,0.044903001
84.75319672,-46.875,0.001822254,0.0001091,0.044902976
84.75319672,-45,0.001822262,0.0001091,0.04490296
84.75319672,-43.125,0.001822257,0.0001091,0.044902945
84.75319672,-41.25,0.001822247,0.000109099,0.044902904
84.75319672,-39.375,0.001822231,0.000109098,0.044902842
84.75319672,-37.5,0.001822226,0.000109097,0.044902808
84.75319672,-35.625,0.001822208,0.000109096,0.044902765
84.75319672,-33.75,0.001822191,0.000109095,0.044902733
84.75319672,-31.875,0.001822168,0.000109094,0.044902693
84.75319672,-30,0.001822141,0.000109092,0.044902635
84.75319672,-28.125,0.001822106,0.00010909,0.044902607
84.75319672,-26.25,0.001822085,0.000109088,0.044902541
84.75319672,-24.375,0.001822057,0.000109087,0.04490252
84.75319672,-22.5,0.001822035,0.000109085,0.044902487
80.94730377,45,0.001822334,0.000109105,0.044903258
79.04350281,45,0.001822518,0.000109119,0.044904613
80.94730377,46.875,0.001822342,0.000109105,0.044903169
79.04350281,46.875,0.001822441,0.000109114,0.044904418
82.85079956,48.75,0.001822387,0.000109109,0.044903401
80.94730377,48.75,0.001822384,0.000109108,0.044903115
79.04350281,48.75,0.001822425,0.000109113,0.04490425
82.85079956,50.625,0.001822393,0.000109109,0.044903423
80.94730377,50.625,0.001822287,0.000109101,0.04490273
79.04350281,50.625,0.001822397,0.00010911,0.044903872
82.85079956,52.5,0.001822957,0.000109143,0.044903748
80.94730377,52.5,0.001822487,0.000109113,0.044902857
79.04350281,52.5,0.001822385,0.000109109,0.044903667
82.85079956,54.375,0.001822974,0.000109144,0.044903663
80.94730377,54.375,0.001823232,0.000109158,0.044903039
79.04350281,54.375,0.001822954,0.000109143,0.04490366
82.85079956,56.25,0.001822984,0.000109145,0.044903604
80.94730377,56.25,0.001823164,0.000109154,0.04490314
79.04350281,56.25,0.001823008,0.000109145,0.044903288
82.85079956,58.125,0.001822974,0.000109144,0.044903551
80.94730377,58.125,0.001823279,0.000109162,0.044903608
79.04350281,58.125,0.001823051,0.000109148,0.044903121
82.85079956,60,0.001822967,0.000109143,0.044903484
80.94730377,60,0.001823194,0.000109157,0.044903362
79.04350281,60,0.001823134,0.000109152,0.044903054
82.85079956,61.875,0.001822948,0.000109142,0.044903424
80.94730377,61.875,0.001823118,0.000109153,0.044903685
79.04350281,61.875,0.001823219,0.000109158,0.044903156
82.85079956,63.75,0.001822922,0.000109141,0.044903422
80.94730377,63.75,0.001823241,0.000109161,0.044903974
79.04350281,63.75,0.001823289,0.000109162,0.044903071
82.85079956,65.625,0.001822898,0.000109139,0.044903438
80.94730377,65.625,0.001823234,0.000109159,0.044903264
79.04350281,65.625,0.001823373,0.000109167,0.044903113
80.94730377,75,0.001822795,0.000109133,0.044903425
79.04350281,75,0.001823196,0.000109159,0.044904131
80.94730377,76.875,0.001822796,0.000109133,0.044903557
79.04350281,76.875,0.001823212,0.00010916,0.044904079
80.94730377,78.75,0.001822773,0.000109133,0.044903789
79.04350281,78.75,0.001823278,0.000109163,0.04490397
79.04350281,80.625,0.001823315,0.000109165,0.04490372
79.04350281,82.5,0.001823345,0.000109166,0.044903574
79.04350281,84.375,0.001823361,0.000109167,0.04490356
79.04350281,88.125,0.001823389,0.000109169,0.044903603
80.94730377,90,0.001822587,0.000109121,0.044903613
79.04350281,90,0.001823415,0.000109171,0.044903686
82.85079956,91.875,0.001822403,0.000109112,0.044904444
80.94730377,91.875,0.001822737,0.00010913,0.044903674
79.04350281,91.875,0.00182352,0.000109177,0.044903604
82.85079956,93.75,0.001822427,0.000109114,0.044904501
80.94730377,93.75,0.001822803,0.000109134,0.044903787
79.04350281,93.75,0.001823694,0.000109188,0.044903912
82.85079956,95.625,0.001822449,0.000109115,0.044904469
